atc_code,level_1,code_1,level_2,code_2,level_3,code_3,level_4,code_4,parent_key
J04AM05,Combinations of drugs for treatment of tuberculosis,J04AM,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00951
J04AM03,Combinations of drugs for treatment of tuberculosis,J04AM,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00951
J04AM01,Combinations of drugs for treatment of tuberculosis,J04AM,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00951
J04AC51,Hydrazides,J04AC,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00951
J04AC01,Hydrazides,J04AC,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00951
N02CC02,Selective serotonin (5HT1) agonists,N02CC,ANTIMIGRAINE PREPARATIONS,N02C,ANALGESICS,N02,NERVOUS SYSTEM,N,DB00952
N02CC04,Selective serotonin (5HT1) agonists,N02CC,ANTIMIGRAINE PREPARATIONS,N02C,ANALGESICS,N02,NERVOUS SYSTEM,N,DB00953
J01FA13,Macrolides,J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01F,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00954
S01AA23,Antibiotics,S01AA,ANTIINFECTIVES,S01A,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00955
J01GB07,Other aminoglycosides,J01GB,AMINOGLYCOSIDE ANTIBACTERIALS,J01G,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00955
R05DA03,Opium alkaloids and derivatives,R05DA,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05D,COUGH AND COLD PREPARATIONS,R05,RESPIRATORY SYSTEM,R,DB00956
G03AA11,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00957
G03FA13,"Progestogens and estrogens, fixed combinations",G03FA,PROGESTOGENS AND ESTROGENS IN COMBINATION,G03F,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00957
L01XA02,Platinum compounds,L01XA,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00958
D07CA02,"Corticosteroids, weak, combinations with antibiotics",D07CA,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",D07C,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00959
S01CA08,Corticosteroids and antiinfectives in combination,S01CA,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01C,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00959
D07AC14,"Corticosteroids, potent (group III)",D07AC,"CORTICOSTEROIDS, PLAIN",D07A,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00959
H02AB04,Glucocorticoids,H02AB,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02A,CORTICOSTEROIDS FOR SYSTEMIC USE,H02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00959
D10AA02,"Corticosteroids, combinations for treatment of acne",D10AA,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10A,ANTI-ACNE PREPARATIONS,D10,DERMATOLOGICALS,D,DB00959
D07AA01,"Corticosteroids, weak (group I)",D07AA,"CORTICOSTEROIDS, PLAIN",D07A,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00959
H02BX01,"Corticosteroids for systemic use, combinations",H02BX,"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",H02B,CORTICOSTEROIDS FOR SYSTEMIC USE,H02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00959
C07AA03,"Beta blocking agents, non-selective",C07AA,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00960
C07CA03,"Beta blocking agents, non-selective, and other diuretics",C07CA,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07C,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00960
N01BB53,Amides,N01BB,"ANESTHETICS, LOCAL",N01B,ANESTHETICS,N01,NERVOUS SYSTEM,N,DB00961
N01BB03,Amides,N01BB,"ANESTHETICS, LOCAL",N01B,ANESTHETICS,N01,NERVOUS SYSTEM,N,DB00961
N05CF03,Benzodiazepine related drugs,N05CF,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00962
S01BC11,"Antiinflammatory agents, non-steroids",S01BC,ANTIINFLAMMATORY AGENTS,S01B,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00963
S01EA03,Sympathomimetics in glaucoma therapy,S01EA,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01E,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00964
C09DB04,Angiotensin II antagonists and calcium channel blockers,C09DB,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00966
C09DA07,Angiotensin II antagonists and diuretics,C09DA,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00966
C09CA07,"Angiotensin II antagonists, plain",C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN",C09C,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00966
R06AX27,Other antihistamines for systemic use,R06AX,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00967
A03AE01,Serotonin receptor antagonists,A03AE,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB00969
L01DA01,Actinomycines,L01DA,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01D,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00970
D01AE13,Other antifungals for topical use,D01AE,ANTIFUNGALS FOR TOPICAL USE,D01A,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01,DERMATOLOGICALS,D,DB00971
R01AC03,"Antiallergic agents, excl. corticosteroids",R01AC,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01A,NASAL PREPARATIONS,R01,RESPIRATORY SYSTEM,R,DB00972
R06AX19,Other antihistamines for systemic use,R06AX,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00972
S01GX07,Other antiallergics,S01GX,DECONGESTANTS AND ANTIALLERGICS,S01G,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00972
C10BA02,HMG CoA reductase inhibitors in combination with other lipid modifying agents,C10BA,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00973
C10BA05,HMG CoA reductase inhibitors in combination with other lipid modifying agents,C10BA,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00973
C10AX09,Other lipid modifying agents,C10AX,"LIPID MODIFYING AGENTS, PLAIN",C10A,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00973
C10BA06,HMG CoA reductase inhibitors in combination with other lipid modifying agents,C10BA,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00973
B01AC07,Platelet aggregation inhibitors excl. heparin,B01AC,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B,DB00975
J01FA15,Macrolides,J01FA,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01F,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00976
G03AA03,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA04,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AB07,"Progestogens and estrogens, sequential preparations",G03AB,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA10,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA08,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AB05,"Progestogens and estrogens, sequential preparations",G03AB,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA09,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AB01,"Progestogens and estrogens, sequential preparations",G03AB,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA11,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AB03,"Progestogens and estrogens, sequential preparations",G03AB,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03CA01,"Natural and semisynthetic estrogens, plain",G03CA,ESTROGENS,G03C,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
L02AA03,Estrogens,L02AA,HORMONES AND RELATED AGENTS,L02A,ENDOCRINE THERAPY,L02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00977
G03AB02,"Progestogens and estrogens, sequential preparations",G03AB,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA02,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA01,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA05,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA12,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA07,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AB04,"Progestogens and estrogens, sequential preparations",G03AB,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA13,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AB06,"Progestogens and estrogens, sequential preparations",G03AB,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA15,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA16,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
G03AA06,"Progestogens and estrogens, fixed combinations",G03AA,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00977
J01MA07,Fluoroquinolones,J01MA,QUINOLONE ANTIBACTERIALS,J01M,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00978
S01AE04,Fluoroquinolones,S01AE,ANTIINFECTIVES,S01A,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00978
S01FA54,Anticholinergics,S01FA,MYDRIATICS AND CYCLOPLEGICS,S01F,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00979
S01FA04,Anticholinergics,S01FA,MYDRIATICS AND CYCLOPLEGICS,S01F,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00979
N05CH02,Melatonin receptor agonists,N05CH,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00980
S01EB05,Parasympathomimetics,S01EB,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01E,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00981
V03AB19,Antidotes,V03AB,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB00981
D10AD54,Retinoids for topical use in acne,D10AD,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10A,ANTI-ACNE PREPARATIONS,D10,DERMATOLOGICALS,D,DB00982
D10AD04,Retinoids for topical use in acne,D10AD,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10A,ANTI-ACNE PREPARATIONS,D10,DERMATOLOGICALS,D,DB00982
D10BA01,Retinoids for treatment of acne,D10BA,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,D10B,ANTI-ACNE PREPARATIONS,D10,DERMATOLOGICALS,D,DB00982
R03AK11,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",R03AK,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00983
R03AK07,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",R03AK,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00983
R03AL05,Adrenergics in combination with anticholinergics,R03AL,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00983
R03AK08,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",R03AK,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00983
R03AK09,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",R03AK,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00983
R03AC13,Selective beta-2-adrenoreceptor agonists,R03AC,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00983
R03AL04,Adrenergics in combination with anticholinergics,R03AL,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00986
R03BB06,Anticholinergics,R03BB,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03B,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00986
A03CA05,Synthetic anticholinergic agents in combination with psycholeptics,A03CA,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,A03C,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB00986
A03AB02,"Synthetic anticholinergics, quaternary ammonium compounds",A03AB,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB00986
L01BC01,Pyrimidine analogues,L01BC,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00987
C01CA04,Adrenergic and dopaminergic agents,C01CA,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01C,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB00988
N06DA03,Anticholinesterases,N06DA,ANTI-DEMENTIA DRUGS,N06D,PSYCHOANALEPTICS,N06,NERVOUS SYSTEM,N,DB00989
L02BG06,Aromatase inhibitors,L02BG,HORMONE ANTAGONISTS AND RELATED AGENTS,L02B,ENDOCRINE THERAPY,L02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00990
M01AE12,Propionic acid derivatives,M01AE,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01,MUSCULO-SKELETAL SYSTEM,M,DB00991
L01XD03,Sensitizers used in photodynamic/radiation therapy,L01XD,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00992
R03DA20,Xanthines,R03DA,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00993
L04AX01,Other immunosuppressants,L04AX,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00993
A07AA51,Antibiotics,A07AA,INTESTINAL ANTIINFECTIVES,A07A,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,ALIMENTARY TRACT AND METABOLISM,A,DB00994
J01GB05,Other aminoglycosides,J01GB,AMINOGLYCOSIDE ANTIBACTERIALS,J01G,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00994
S01AA03,Antibiotics,S01AA,ANTIINFECTIVES,S01A,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00994
D06AX04,Other antibiotics for topical use,D06AX,ANTIBIOTICS FOR TOPICAL USE,D06A,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06,DERMATOLOGICALS,D,DB00994
B05CA09,Antiinfectives,B05CA,IRRIGATING SOLUTIONS,B05C,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B,DB00994
S03AA01,Antiinfectives,S03AA,ANTIINFECTIVES,S03A,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03,SENSORY ORGANS,S,DB00994
A07AA01,Antibiotics,A07AA,INTESTINAL ANTIINFECTIVES,A07A,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,ALIMENTARY TRACT AND METABOLISM,A,DB00994
A01AB08,Antiinfectives and antiseptics for local oral treatment,A01AB,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A,DB00994
S02AA07,Antiinfectives,S02AA,ANTIINFECTIVES,S02A,OTOLOGICALS,S02,SENSORY ORGANS,S,DB00994
R02AB01,Antibiotics,R02AB,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02,RESPIRATORY SYSTEM,R,DB00994
M01CB03,Gold preparations,M01CB,SPECIFIC ANTIRHEUMATIC AGENTS,M01C,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01,MUSCULO-SKELETAL SYSTEM,M,DB00995
N03AX12,Other antiepileptics,N03AX,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03,NERVOUS SYSTEM,N,DB00996
L01DB01,Anthracyclines and related substances,L01DB,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01D,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00997
N02CC07,Selective serotonin (5HT1) agonists,N02CC,ANTIMIGRAINE PREPARATIONS,N02C,ANALGESICS,N02,NERVOUS SYSTEM,N,DB00998
C03AB03,Thiazides and potassium in combination,C03AB,"LOW-CEILING DIURETICS, THIAZIDES",C03A,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C,DB00999
C09DX01,"Angiotensin II antagonists, other combinations",C09DX,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00999
C09DX03,"Angiotensin II antagonists, other combinations",C09DX,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",C09D,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00999
C09XA52,Renin-inhibitors,C09XA,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09X,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00999
C03AX01,"Thiazides, combinations with other drugs",C03AX,"LOW-CEILING DIURETICS, THIAZIDES",C03A,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C,DB00999
C03EA01,Low-ceiling diuretics and potassium-sparing agents,C03EA,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03E,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C,DB00999
C03AA03,"Thiazides, plain",C03AA,"LOW-CEILING DIURETICS, THIAZIDES",C03A,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C,DB00999
C09XA54,Renin-inhibitors,C09XA,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09X,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00999
G01AE10,Sulfonamides,G01AE,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00999
J01CR50,"Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01000
R03AL02,Adrenergics in combination with anticholinergics,R03AL,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB01001
R03CC02,Selective beta-2-adrenoreceptor agonists,R03CC,ADRENERGICS FOR SYSTEMIC USE,R03C,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB01001
R03AC02,Selective beta-2-adrenoreceptor agonists,R03AC,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB01001
R03AK04,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",R03AK,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB01001
N01BB10,Amides,N01BB,"ANESTHETICS, LOCAL",N01B,ANESTHETICS,N01,NERVOUS SYSTEM,N,DB01002
S01GX01,Other antiallergics,S01GX,DECONGESTANTS AND ANTIALLERGICS,S01G,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB01003
