form,route,strength,parent_key
Suspension,Intra-articular; Intralesional; Intramuscular; Intrasynovial,40 mg,DB00959
Solution,Intra-articular; Intrabursal,,DB00959
Kit,Epidural; Infiltration; Intra-articular; Intralesional; Intramuscular; Intravenous; Soft tissue; Subcutaneous; Topical,,DB00959
Gel,Topical,10 mg/g,DB00959
Tablet,Oral,2 mg/1,DB00959
Tablet,Oral,32 mg/1,DB00959
Tablet,Oral,16 mg,DB00959
Tablet,Oral,4 mg,DB00959
Cream,Topical,2.5 mg,DB00959
Tablet,Oral,16 mg/1,DB00959
Tablet,Oral,4 mg/1,DB00959
Tablet,Oral,8 mg/1,DB00959
"Injection, suspension",Intra-articular; Intralesional; Intramuscular; Parenteral; Soft tissue,40 mg/mL,DB00959
"Injection, suspension",Intra-articular; Intralesional; Intramuscular; Parenteral; Soft tissue,80 mg/mL,DB00959
"Injection, suspension",Intra-articular; Intralesional; Intramuscular; Soft tissue,40 mg/mL,DB00959
"Injection, suspension",Intramuscular; Intrasynovial; Soft tissue,40 mg/mL,DB00959
Suspension,Intra-articular; Intramuscular; Intrasynovial; Soft tissue,40 mg,DB00959
Suspension,Intra-articular; Intramuscular; Intrasynovial; Soft tissue,80 mg,DB00959
"Injection, powder, lyophilized, for solution",Intramuscular; Intravenous,1 g/16mL,DB00959
"Injection, powder, lyophilized, for solution",Intramuscular; Intravenous,125 mg/1,DB00959
"Injection, powder, lyophilized, for solution",Intramuscular; Intravenous,2 g/1,DB00959
"Injection, powder, lyophilized, for solution",Intramuscular; Intravenous,40 mg/1,DB00959
"Injection, powder, lyophilized, for solution",Intramuscular; Intravenous,500 mg/1,DB00959
"Powder, for solution",Intramuscular; Intravenous,1 g,DB00959
"Powder, for solution",Intramuscular; Intravenous,125 mg,DB00959
"Powder, for solution",Intramuscular; Intravenous,40 mg,DB00959
"Powder, for solution",Intramuscular; Intravenous,5 g,DB00959
"Powder, for solution",Intramuscular; Intravenous,500 mg,DB00959
"Powder, for solution",Intramuscular; Intravenous,,DB00959
Cream,Topical,,DB00959
Lotion,Topical,,DB00959
Kit,,,DB00959
Kit,Epidural; Infiltration; Intramuscular; Intrasynovial; Soft tissue; Topical,,DB00959
Kit,Epidural; Infiltration; Intra-articular; Intralesional; Intramuscular; Soft tissue,,DB00959
"Injection, powder, for solution",Intramuscular; Intravenous,1 g/mL,DB00959
"Injection, powder, for solution",Intramuscular; Intravenous,1 g/8mL,DB00959
"Injection, powder, for solution",Intramuscular; Intravenous,125 mg/2mL,DB00959
"Injection, powder, for solution",Intramuscular; Intravenous,125 mg/mL,DB00959
"Injection, powder, for solution",Intramuscular; Intravenous,40 mg/mL,DB00959
"Injection, powder, for solution",Intramuscular; Intravenous,500 mg/4mL,DB00959
"Injection, powder, for solution",Intramuscular; Intravenous,500 mg/mL,DB00959
"Injection, powder, for solution",Intravenous,1 g/1,DB00959
"Injection, powder, for solution",Intravenous,40 mg/1,DB00959
Kit,,,DB00959
Kit; powder,Intramuscular; Intravenous,1 g,DB00959
Kit; powder,Intramuscular; Intravenous,125 mg,DB00959
Kit; powder,Intramuscular; Intravenous,40 mg,DB00959
Kit; powder,Intramuscular; Intravenous,500 mg,DB00959
"Kit; powder, for solution",Intramuscular; Intravenous,1 g,DB00959
"Kit; powder, for solution",Intramuscular; Intravenous,125 mg,DB00959
"Kit; powder, for solution",Intramuscular; Intravenous,40 mg,DB00959
"Kit; powder, for solution",Intramuscular; Intravenous,500 mg,DB00959
"Powder, for solution",Intravenous,125 mg/mL,DB00959
"Powder, for solution",Intramuscular; Intravenous; Rectal,125 mg,DB00959
"Powder, for solution",Intramuscular; Intravenous; Rectal,40 mg,DB00959
Tablet,Oral,10 mg/1,DB00960
Tablet,Oral,5 mg/1,DB00960
Tablet,Oral,10 mg,DB00960
Tablet,Oral,15 mg,DB00960
Tablet,Oral,5 mg,DB00960
Tablet,Oral,,DB00960
"Injection, solution",Epidural; Infiltration,10 mg/mL,DB00961
"Injection, solution",Epidural; Infiltration,15 mg/mL,DB00961
"Injection, solution",Epidural; Infiltration,20 mg/mL,DB00961
"Injection, solution",Infiltration,10 mg/mL,DB00961
"Injection, solution",Infiltration,20 mg/mL,DB00961
"Injection, solution",Subcutaneous,30 mg/mL,DB00961
Liquid,Epidural; Intracaudal,20 mg,DB00961
Solution,Epidural; Intracaudal,1 %,DB00961
Solution,Infiltration,1 %,DB00961
Solution,Epidural; Intracaudal,20 mg,DB00961
Liquid,Epidural; Intracaudal,10 mg,DB00961
Liquid,Intraspinal,20 mg,DB00961
Liquid,Epidural; Intracaudal,1 %,DB00961
Liquid,Infiltration,1 %,DB00961
"Injection, solution",Subcutaneous,,DB00961
Solution,Subcutaneous,30 mg,DB00961
Kit,,,DB00961
"Injection, solution",Dental; Infiltration,30 mg/mL,DB00961
Solution,Infiltration,30 mg,DB00961
Liquid,Infiltration,,DB00961
Solution,Infiltration,,DB00961
Liquid,Infiltration,30 mg,DB00961
Capsule,Oral,10 mg,DB00962
Capsule,Oral,5 mg,DB00962
Capsule,Oral,10 mg/1,DB00962
Capsule,Oral,5 mg/1,DB00962
"Capsule, gelatin coated",Oral,10 mg/1,DB00962
"Capsule, gelatin coated",Oral,5 mg/1,DB00962
Solution / drops,Ophthalmic,.9 mg/mL,DB00963
Solution / drops,Ophthalmic,1.035 mg/mL,DB00963
Solution / drops,Ophthalmic,.76 mg/mL,DB00963
Solution / drops,Ophthalmic,,DB00963
Suspension / drops,Ophthalmic,,DB00963
Solution,Ophthalmic,0.07 %,DB00963
Solution / drops,Ophthalmic,.7 mg/mL,DB00963
Solution / drops,Ophthalmic,0.9 mg/ml,DB00963
Solution,Ophthalmic,5.75 mg/mL,DB00964
Solution / drops,Ophthalmic,5 mg/mL,DB00964
Solution,Ophthalmic,0.5 %,DB00964
Solution,Ophthalmic,1 %,DB00964
Solution,Ophthalmic,5 mg/mL,DB00964
Solution / drops,Ophthalmic,10 mg/mL,DB00964
Injection,Intra-arterial; Intralymphatic; Intrauterine,480 mg/mL,DB00965
Liquid,Intracavitary; Parenteral,380 mg,DB00965
Tablet,Oral,20 mg,DB00966
Tablet,Oral,40 mg/1,DB00966
Tablet,Oral,80 mg/1,DB00966
Tablet,Oral,40 mg,DB00966
Tablet,Oral,80 mg,DB00966
Tablet,Oral,20 mg/1,DB00966
Tablet,Oral,,DB00966
"Tablet, multilayer",Oral,,DB00966
Syrup,Oral,0.5 mg,DB00967
"Tablet, multilayer, extended release",Oral,,DB00967
Tablet,Oral,5 mg,DB00967
Solution,Oral,.5 mg/mL,DB00967
"Tablet, extended release",Oral,,DB00967
"Tablet, film coated",Oral,5 mg,DB00967
Tablet,Oral,5 mg/1,DB00967
"Tablet, film coated",Oral,5 mg/1,DB00967
"Tablet, orally disintegrating",Oral,2.5 mg/1,DB00967
"Tablet, orally disintegrating",Oral,5 mg/1,DB00967
Solution,Oral,0.5 mg/ml,DB00967
"Tablet, orally disintegrating",Oral,2.5 mg,DB00967
"Tablet, orally disintegrating",Oral,5 mg,DB00967
Liquid,Intravenous,250 mg,DB00968
Tablet,Oral,125 mg,DB00968
Tablet,Oral,250 mg/1,DB00968
Tablet,Oral,250 mg,DB00968
Tablet,Oral,500 mg,DB00968
Tablet,Oral,500 mg/1,DB00968
"Tablet, film coated",Oral,250 mg/1,DB00968
"Tablet, film coated",Oral,500 mg/1,DB00968
"Injection, solution",Intravenous,50 mg/mL,DB00968
Tablet,Oral,,DB00968
Tablet,Oral,.5 mg/1,DB00969
"Tablet, film coated",Oral,.5 mg/1,DB00969
"Tablet, film coated",Oral,1 mg/1,DB00969
Tablet,Oral,1 mg/1,DB00969
"Injection, powder, lyophilized, for solution",Intravenous,.5 mg/mL,DB00970
"Powder, for solution",Intravenous,0.5 mg,DB00970
Cloth,Topical,,DB00971
Shampoo,Topical,10 mg/mL,DB00971
Lotion / shampoo,Topical,1 g/100mL,DB00971
Shampoo,Topical,1 kg/100L,DB00971
Shampoo,Topical,.6 g/100mL,DB00971
Liquid,Topical,10 mg/mL,DB00971
Liquid,Topical,1 mL/100mL,DB00971
Shampoo,Topical,1 mL/100mL,DB00971
Lotion,Topical,2.5 g/100mL,DB00971
Lotion,Topical,2.5 mg/100mL,DB00971
Lotion,Topical,25 mg/mL,DB00971
Shampoo,Topical,22.5 mg/mL,DB00971
Shampoo,Topical,23 mg/mL,DB00971
Shampoo,Topical,1 g/100mL,DB00971
Shampoo,Topical,1 %,DB00971
Shampoo,Topical,1.0 %,DB00971
Shampoo,Topical,.025 g/mL,DB00971
"Aerosol, foam",Topical,1.44 g/70g,DB00971
"Spray, metered",Nasal,137 ug/1,DB00972
Spray,Nasal,205.5 ug/1,DB00972
Solution / drops,Ophthalmic,.5 mg/mL,DB00972
Spray,Nasal,137 ug/.137mL,DB00972
"Spray, metered",Nasal,1 mg/mL,DB00972
"Spray, metered",Nasal,137 ug/.137mL,DB00972
"Spray, metered",Nasal,205.5 ug/1,DB00972
"Spray, metered",Nasal,,DB00972
Solution / drops,Intraocular,.5 mg/mL,DB00972
Kit,,,DB00972
Tablet,Oral,10 mg,DB00973
"Tablet, film coated",Oral,,DB00973
Tablet,Oral,,DB00973
Tablet,Oral,10 mg/1,DB00973
Injection,Intramuscular,200 mg/mL,DB00974
Injection,Intramuscular; Intravenous,200 mg/mL,DB00974
Liquid,Intramuscular; Intravenous; Subcutaneous,200 mg,DB00974
"Gel, dentifrice",Dental,24 g/100g,DB00974
"Gel, dentifrice",Dental,17 g/100g,DB00974
Liquid,Topical,,DB00974
Liquid,Dental,,DB00974
Liquid,Ophthalmic,,DB00974
"Capsule, extended release",Oral,,DB00975
"Capsule; capsule, extended release",Oral,,DB00975
Tablet,Oral,50 mg,DB00975
Capsule,Oral,,DB00975
Injection,Intravenous,5 mg/mL,DB00975
Solution,Intravenous,5 mg/mL,DB00975
Tablet,Oral,25 mg/1,DB00975
Tablet,Oral,50 mg/1,DB00975
Tablet,Oral,75 mg/1,DB00975
"Tablet, film coated",Oral,25 mg/1,DB00975
"Tablet, film coated",Oral,50 mg/1,DB00975
"Tablet, film coated",Oral,75 mg/1,DB00975
Liquid,Intravenous,5 mg,DB00975
Tablet,Oral,100 mg,DB00975
Solution,Intravenous,5 mg,DB00975
"Tablet, coated",Oral,25 mg/1,DB00975
"Tablet, coated",Oral,50 mg/1,DB00975
"Tablet, coated",Oral,75 mg/1,DB00975
Tablet,Oral,25 mg,DB00975
Tablet,Oral,75 mg,DB00975
Tablet,Oral,400 mg,DB00976
"Tablet, film coated",Oral,300 mg/1,DB00976
"Tablet, film coated",Oral,400 mg/1,DB00976
Tablet,Oral,.05 mg,DB00977
Tablet,Oral,.5 mg,DB00977
Tablet,Oral,.02 mg,DB00977
"Patch, extended release",Transdermal,,DB00977
"Tablet, film coated",Oral,,DB00977
"Tablet, chewable",Oral,,DB00977
Tablet,Oral,,DB00977
Kit,,,DB00977
Kit,Oral,,DB00977
"Insert, extended release",Vaginal,,DB00977
Ring,Vaginal,,DB00977
Patch,Transdermal,,DB00977
Kit,,,DB00977
Solution / drops,Ophthalmic,20 mg/mL,DB00979
Solution / drops,Ophthalmic,5 mg/mL,DB00979
Solution / drops,Ophthalmic,,DB00979
Solution,Ophthalmic,10 mg/mL,DB00979
Solution,Ophthalmic,20 mg/mL,DB00979
Solution,Ophthalmic,5 mg/mL,DB00979
Solution / drops,Ophthalmic,10 mg/mL,DB00979
Solution / drops,Ophthalmic,0.5 %,DB00979
Solution / drops,Ophthalmic,1 %,DB00979
Solution,Ophthalmic,0.5 %,DB00979
Solution,Ophthalmic,1 %,DB00979
Liquid,Ophthalmic,1 %,DB00979
"Tablet, film coated",Oral,8 mg/1,DB00980
Liquid,Intramuscular; Intravenous,1 mg,DB00981
Injection,Intravenous,1 mg/mL,DB00981
Capsule,Oral,25 mg/1,DB00982
Capsule,Oral,35 mg/1,DB00982
Capsule,Oral,10 mg,DB00982
Capsule,Oral,40 mg,DB00982
Capsule,Oral,10 mg/1,DB00982
Capsule,Oral,20 mg/1,DB00982
Capsule,Oral,40 mg/1,DB00982
Capsule,Oral,30 mg/1,DB00982
Capsule,Oral,20 mg,DB00982
Capsule,Oral,30 mg,DB00982
Gel,Topical,0.05 %,DB00982
"Capsule, liquid filled",Oral,10 mg/1,DB00982
"Capsule, liquid filled",Oral,20 mg/1,DB00982
"Capsule, liquid filled",Oral,30 mg/1,DB00982
"Capsule, liquid filled",Oral,40 mg/1,DB00982
"Capsule, gelatin coated",Oral,10 mg/1,DB00982
"Capsule, gelatin coated",Oral,20 mg/1,DB00982
"Capsule, gelatin coated",Oral,30 mg/1,DB00982
"Capsule, gelatin coated",Oral,40 mg/1,DB00982
"Aerosol, metered",Respiratory (inhalation),,DB00983
,Respiratory (inhalation),,DB00983
Aerosol,Respiratory (inhalation),,DB00983
Capsule,Respiratory (inhalation),12 ug/1,DB00983
Capsule,Respiratory (inhalation),12 mcg,DB00983
Powder,Respiratory (inhalation),12 mcg,DB00983
Powder,Respiratory (inhalation),6 mcg,DB00983
Solution,Respiratory (inhalation),20 ug/2mL,DB00983
Powder,Respiratory (inhalation),,DB00983
Tablet,Oral,25 mg/1,DB00985
Solution,Oral,15 mg,DB00985
"Injection, solution",Intramuscular; Intravenous,50 mg/mL,DB00985
Tablet,Oral,50 mg/1,DB00985
"Tablet, film coated",Oral,50 mg/1,DB00985
Liquid,Intravenous,10 mg,DB00985
Liquid,Intramuscular; Intravenous,50 mg,DB00985
Solution,Intramuscular; Intravenous,50 mg,DB00985
Liquid,Oral,15 mg,DB00985
Tablet,Oral,50 mg,DB00985
Tablet,Oral,50.0 mg,DB00985
"Tablet, chewable",Oral,25 mg/1,DB00985
"Tablet, chewable",Oral,50 mg/1,DB00985
Capsule,Oral,,DB00985
"Capsule, extended release",Oral,75 mg,DB00985
Suppository,Rectal,100 mg,DB00985
Tablet,Oral,15 mg,DB00985
Solution,Intramuscular,50 mg,DB00985
"Tablet, multilayer",Oral,100 mg,DB00985
Solution,Intravenous,10 mg,DB00985
Suppository,Rectal,25 mg,DB00985
Syrup,Oral,15 mg,DB00985
"Tablet, chewable",Oral,15 mg,DB00985
"Tablet, extended release",Oral,75 mg,DB00985
"Tablet, chewable",Oral,50 mg,DB00985
Tablet,Oral,25 mg,DB00985
Capsule,Oral,50 mg,DB00985
"Tablet, coated",Oral,50 mg/1,DB00985
Syrup,Oral,3 mg,DB00985
Suppository,Rectal,50 mg,DB00985
"Aerosol, metered",Respiratory (inhalation),,DB00986
Liquid,Oral,1 mg/5mL,DB00986
Solution,Oral,1 mg,DB00986
Capsule,Respiratory (inhalation),44 micrograms,DB00986
Tablet,Oral,1.5 mg/1,DB00986
Injection,Intramuscular; Intravenous,.2 mg/mL,DB00986
Injection,Intramuscular; Intravenous,.4 mg/2mL,DB00986
Injection,Intramuscular; Intravenous,1 mg/5mL,DB00986
Injection,Intramuscular; Intravenous,4 mg/20mL,DB00986
"Injection, powder, for solution",Intramuscular; Intravenous,.2 mg/mL,DB00986
"Injection, solution",Intramuscular; Intravenous,.2 mg/mL,DB00986
"Injection, solution",Intramuscular; Intravenous,.4 mg/2mL,DB00986
"Injection, solution",Intramuscular; Intravenous,1 mg/5mL,DB00986
"Injection, solution",Intravenous,.2 mg/mL,DB00986
Tablet,Oral,1 mg/1,DB00986
Tablet,Oral,2 mg/1,DB00986
Liquid,Intramuscular; Intravenous,0.2 mg,DB00986
Solution,Intramuscular; Intravenous,0.2 mg,DB00986
Solution,Intramuscular; Intravenous,0.4 mg,DB00986
Solution,Intramuscular; Intravenous,4 mg,DB00986
Solution,Respiratory (inhalation),25 ug/mL,DB00986
Liquid,Intramuscular; Intravenous,.2 mg,DB00986
Tablet,Oral,2 mg,DB00986
Tablet,Oral,1 mg,DB00986
Capsule,Respiratory (inhalation),50 mcg,DB00986
Capsule,Respiratory (inhalation),15.6 ug/1,DB00986
Solution,Oral,320 μg/ml,DB00986
Capsule,Respiratory (inhalation),,DB00986
Injection,Intrathecal; Intravenous; Subcutaneous,100 mg/5mL,DB00987
Injection,Intrathecal; Intravenous; Subcutaneous,2 g/20mL,DB00987
Injection,Intravenous; Subcutaneous,20 mg/mL,DB00987
"Injection, solution",Intrathecal; Intravenous; Subcutaneous,100 mg/mL,DB00987
"Injection, solution",Intrathecal; Intravenous; Subcutaneous,20 mg/mL,DB00987
"Injection, solution",Intravenous,20 mg/mL,DB00987
"Injection, solution",Intravenous; Subcutaneous,20 mg/mL,DB00987
"Powder, for solution",Intrathecal; Intravenous; Subcutaneous,1 g,DB00987
"Powder, for solution",Intrathecal; Intravenous; Subcutaneous,2 g,DB00987
"Powder, for solution",Intrathecal; Intravenous; Subcutaneous,500 mg,DB00987
Liquid,Intravenous; Subcutaneous,100 mg,DB00987
Solution,Intrathecal; Intravenous; Subcutaneous,100 mg,DB00987
"Powder, for solution",Intrathecal; Intravenous; Subcutaneous,100 mg,DB00987
"Injection, lipid complex",Intrathecal,50 mg/5mL,DB00987
Suspension,Intrathecal,10 mg,DB00987
"Injection, suspension",Intrathecal,50 mg,DB00987
Solution,Intrathecal; Intravenous; Subcutaneous,20 mg,DB00987
"Injection, powder, lyophilized, for suspension",Intravenous,,DB00987
"Injection, solution",Intravenous,80 mg/mL,DB00988
"Injection, solution",Intravenous,160 mg/mL,DB00988
Solution,Intravenous,,DB00988
Liquid,Intravenous,40 mg,DB00988
Injection,Intravenous,40 mg/mL,DB00988
Injection,Intravenous,80 mg/mL,DB00988
"Injection, solution",Intravenous,40 mg/mL,DB00988
"Injection, solution, concentrate",Intravenous,40 mg/mL,DB00988
"Injection, solution, concentrate",Intravenous,80 mg/mL,DB00988
"Injection, solution",Intravenous,.8 mg/mL,DB00988
"Injection, solution",Intravenous,160 mg/100mL,DB00988
"Injection, solution",Intravenous,320 mg/100mL,DB00988
"Injection, solution",Intravenous,80 mg/100mL,DB00988
"Injection, solution",Intravenous,1.6 mg/mL,DB00988
"Injection, solution",Intravenous,3.2 mg/mL,DB00988
Solution,Intravenous,40 mg,DB00988
Patch,Transdermal,18 mg,DB00989
Patch,Transdermal,9 mg,DB00989
Capsule,Oral,6.0 mg,DB00989
Capsule,Oral,3 mg,DB00989
Capsule,Oral,4.5 mg,DB00989
Capsule,Oral,6 mg,DB00989
Patch,Transdermal,13.3 mg/24hours,DB00989
Patch,Transdermal,4.6 mg/24hours,DB00989
Patch,Transdermal,9.5 mg/24hours,DB00989
"Patch, extended release",Transdermal,13.3 mg/24h,DB00989
"Patch, extended release",Transdermal,4.6 mg/24h,DB00989
"Patch, extended release",Transdermal,4.6 mg/24[USP'U],DB00989
"Patch, extended release",Transdermal,9.5 mg/24[USP'U],DB00989
"Patch, extended release",Transdermal,9.5 mg/24h,DB00989
Solution,Oral,2 mg,DB00989
Solution,Oral,2 mg/ml,DB00989
Capsule,Oral,1.5 mg,DB00989
Patch,Transdermal,9.5 mg,DB00989
Patch,Transdermal,13.3 mg,DB00989
Patch,Transdermal,4.6 mg,DB00989
"Tablet, orally disintegrating",Oral,1.5 mg,DB00989
"Tablet, orally disintegrating",Oral,3 mg,DB00989
"Tablet, orally disintegrating",Oral,4.5 mg,DB00989
"Tablet, orally disintegrating",Oral,6 mg,DB00989
Capsule,Oral,3.0 mg,DB00989
Patch,Transdermal,13.3 mg/24h,DB00989
Patch,Transdermal,4.6 mg/24h,DB00989
Patch,Transdermal,9.5 mg/24h,DB00989
Capsule,Oral,1.5 mg/1,DB00989
Capsule,Oral,3 mg/1,DB00989
Capsule,Oral,4.5 mg/1,DB00989
Capsule,Oral,6 mg/1,DB00989
"Patch, extended release",Transdermal,13.3 mg/1,DB00989
"Patch, extended release",Transdermal,4.6 mg/1,DB00989
"Patch, extended release",Transdermal,9.5 mg/1,DB00989
Tablet,Oral,25 mg/1,DB00990
Tablet,Oral,25 mg,DB00990
"Tablet, film coated",Oral,25 mg/1,DB00990
"Tablet, sugar coated",Oral,25 mg/1,DB00990
Tablet,Oral,600 mg,DB00991
Tablet,Oral,600 mg/1,DB00991
"Tablet, film coated",Oral,600 mg/1,DB00991
Cream,Topical,168 mg,DB00992
Tablet,Oral,100 mg/1,DB00993
Tablet,Oral,75 mg/1,DB00993
Tablet,Oral,100 1/1,DB00993
Tablet,Oral,25 1/1,DB00993
Tablet,Oral,50 mg/1,DB00993
Tablet,Oral,50 1/1,DB00993
Tablet,Oral,75 1/1,DB00993
"Injection, powder, lyophilized, for solution",Intravenous,100 mg/10mL,DB00993
"Powder, for solution",Intravenous,50 mg,DB00993
"Powder, for solution",Intravenous,100 mg,DB00993
Tablet,Oral,50 mg,DB00993
Kit,,,DB00994
Kit,,,DB00994
Powder,Topical,,DB00994
Ointment,Topical,3.5 mg/g,DB00994
Cream,Topical,5 mg/.9g,DB00994
Solution,Auricular (otic),,DB00994
Suspension,Topical,,DB00994
Suspension,Auricular (otic),,DB00994
Kit,Topical,,DB00994
Ointment,Ophthalmic; Topical,,DB00994
Ointment,Topical,,DB00994
Stick,Topical,,DB00994
Cream,Topical,,DB00994
Solution,Oral,125 mg,DB00994
Tablet,Oral,500 mg,DB00994
Ointment,Topical,.5 %,DB00994
Suspension,Auricular (otic); Ophthalmic,,DB00994
Solution,Oral,87.5 mg/5mL,DB00994
Lotion,Topical,,DB00994
Liquid,Auricular (otic); Ophthalmic,,DB00994
Solution,Irrigation,,DB00994
Ointment,Ophthalmic,,DB00994
Suspension,Ophthalmic,,DB00994
Solution / drops,Ophthalmic,,DB00994
Solution / drops,Auricular (otic),,DB00994
Suspension / drops,Auricular (otic),,DB00994
Suspension / drops,Ophthalmic,,DB00994
Tablet,Oral,350 mg/1,DB00994
Tablet,Oral,500 mg/1,DB00994
Solution,Ophthalmic,,DB00994
Solution,Auricular (otic); Ophthalmic,,DB00994
Irrigant,Irrigation,,DB00994
Solution,Urethral,,DB00994
Liquid,Ophthalmic,,DB00994
Gel,Topical,,DB00994
Solution / drops,Auricular (otic); Ophthalmic,,DB00994
Ointment,Topical,3.5 mg/57g,DB00994
Ointment,Rectal,,DB00994
Suppository,Rectal,,DB00994
Capsule,Oral,3 mg/1,DB00995
Capsule,Oral,3 mg,DB00995
Kit,Oral,,DB00996
Capsule,Oral,100 mg/1,DB00996
Capsule,Oral,300 mg/300mg,DB00996
Capsule,Oral,300 mg/1,DB00996
Capsule,Oral,400 mg/1,DB00996
Capsule,Oral,600 mg/1,DB00996
Solution,Oral,250 mg/5mL,DB00996
Suspension,Oral,250 mg/5mL,DB00996
Tablet,Oral,600 mg/1,DB00996
Tablet,Oral,800 mg/1,DB00996
Tablet,Oral,800 mg/800mg,DB00996
"Tablet, film coated",Oral,100 mg/1,DB00996
"Tablet, film coated",Oral,300 mg/1,DB00996
"Tablet, film coated",Oral,400 mg/1,DB00996
"Tablet, film coated",Oral,600 mg/1001,DB00996
"Tablet, film coated",Oral,600 mg/1,DB00996
"Tablet, film coated",Oral,800 mg/1,DB00996
Kit,,,DB00996
"Tablet, multilayer, extended release",Oral,600 mg,DB00996
"Tablet, multilayer, extended release",Oral,800 mg,DB00996
Kit,Topical,,DB00996
Tablet,Oral,600 mg,DB00996
Tablet,Oral,800 mg,DB00996
Capsule,Oral,100 mg,DB00996
Capsule,Oral,300 mg,DB00996
Capsule,Oral,400 mg,DB00996
Kit,Oral; Topical,,DB00996
Kit,,,DB00996
Cream,Topical,,DB00996
"Powder, for solution",Intravenous,10 mg,DB00997
"Injection, solution, concentrate",Intravenous,2 mg/ml,DB00997
Suspension,Intravenous,2 mg,DB00997
"Injection, suspension, liposomal",Intravenous,2 mg/mL,DB00997
"Powder, for solution",Intravenous,150 mg,DB00997
"Powder, for solution",Intravenous,50 mg,DB00997
"Injectable, liposomal",Intravenous,2 mg/mL,DB00997
Injection,Intravenous,10 mg/5mL,DB00997
Injection,Intravenous,2 mg/mL,DB00997
Injection,Intravenous,20 mg/10mL,DB00997
Injection,Intravenous,200 mg/100mL,DB00997
Injection,Intravenous,50 mg/25mL,DB00997
"Injection, powder, lyophilized, for solution",Intravenous,2 mg/mL,DB00997
"Injection, solution",Intravenous,2 mg/mL,DB00997
"Powder, for solution",Intravenous; Intravesical,10 mg,DB00997
"Powder, for solution",Intravenous; Intravesical,150 mg,DB00997
"Powder, for solution",Intravenous; Intravesical,50 mg,DB00997
Solution,Intravenous,2 mg,DB00997
Solution,Intravenous; Intravesical,2 mg,DB00997
"Injectable, liposomal",Intravenous,2 mg,DB00997
"Injection, powder, for solution",Intravenous,50 mg,DB00997
Tablet,Oral,2.5 mg,DB00998
"Tablet, film coated",Oral,2.5 mg/1,DB00998
"Tablet, film coated",Oral,,DB00999
Tablet,Oral,50 mg,DB00999
Tablet,Oral,12.5 mg,DB00999
"Tablet, coated",Oral,,DB00999
Capsule,Oral,12.5 mg/1,DB00999
"Capsule, gelatin coated",Oral,12.5 mg/1,DB00999
Tablet,Oral,12.5 mg/1,DB00999
Tablet,Oral,25 mg/25mg,DB00999
Tablet,Oral,25 mg/1,DB00999
Tablet,Oral,50 mg/1,DB00999
Tablet,Oral,50 mg/50mg,DB00999
Tablet,Oral,25 mg,DB00999
Tablet,Oral,100 mg,DB00999
Tablet,Oral,,DB00999
Capsule,Oral,,DB00999
"Aerosol, metered",Respiratory (inhalation),100 mcg,DB01001
"Aerosol, metered",Oral,90 ug/1,DB01001
Tablet,Oral,2 mg/1,DB01001
Tablet,Oral,4 mg/1,DB01001
Solution,Intrabronchial,.63 mg/3mL,DB01001
Solution,Intrabronchial,1.25 mg/3mL,DB01001
Solution,Intrabronchial,2.5 mg/3mL,DB01001
Solution,Oral,2 mg/5mL,DB01001
Solution,Respiratory (inhalation),.75 mg/3mL,DB01001
Solution,Respiratory (inhalation),.83 mg/mL,DB01001
Solution,Respiratory (inhalation),1.5 mg/3mL,DB01001
Solution,Respiratory (inhalation),2.5 mg/.5mL,DB01001
Solution,Respiratory (inhalation),2.5 mg/3mL,DB01001
Solution,Respiratory (inhalation),5 mg/mL,DB01001
Syrup,Occlusive dressing technique,2 mg/5mL,DB01001
Syrup,Oral,2 mg/5mL,DB01001
Tablet,Oral,2.4 mg/1,DB01001
"Tablet, film coated, extended release",Oral,4 mg/1,DB01001
"Tablet, film coated, extended release",Oral,8 mg/1,DB01001
"Tablet, extended release",Oral,4 mg/1,DB01001
"Tablet, extended release",Oral,8 mg/1,DB01001
Tablet,Oral,2 mg,DB01001
Tablet,Oral,4 mg,DB01001
Powder,Respiratory (inhalation),97 mcg,DB01001
"Aerosol, metered",Oral; Respiratory (inhalation),,DB01001
"Spray, metered",Respiratory (inhalation),,DB01001
Inhalant,Respiratory (inhalation),,DB01001
Solution,Respiratory (inhalation),,DB01001
Solution,Respiratory (inhalation),1.25 mg/.5mL,DB01001
"Aerosol, metered",Oral,100 mcg,DB01001
Solution,Oral,0.4 mg,DB01001
Solution,Oral; Respiratory (inhalation),5 mg,DB01001
"Powder, metered",Respiratory (inhalation),90 ug/1,DB01001
Solution,Respiratory (inhalation),0.5 mg,DB01001
Solution,Respiratory (inhalation),5 mg,DB01001
Liquid,Respiratory (inhalation),1 mg,DB01001
Liquid,Respiratory (inhalation),0.05 %,DB01001
Liquid,Respiratory (inhalation),0.1 %,DB01001
Liquid,Respiratory (inhalation),0.2 %,DB01001
Solution,Respiratory (inhalation),1 mg,DB01001
Solution,Respiratory (inhalation),2 mg,DB01001
Powder,Respiratory (inhalation),200 mcg,DB01001
Powder,Respiratory (inhalation),400 mcg,DB01001
"Aerosol, metered",Respiratory (inhalation),108 ug/1,DB01001
"Aerosol, metered",Respiratory (inhalation),90 ug/1,DB01001
Solution,Intramuscular,0.5 mg,DB01001
Solution,Intravenous,0.25 mg,DB01001
Solution,Intravenous,1 mg,DB01001
Liquid,Intramuscular,.5 mg,DB01001
